COU,Country,POL,Pollutant,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1990,1990,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,425624.307,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1991,1991,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,425686.445,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1992,1992,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,429473.085,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1993,1993,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,430381.731,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1994,1994,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,430848.498,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1995,1995,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,439269.878,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1996,1996,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,445847.225,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1997,1997,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,457864.51,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1998,1998,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,472145.832,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,1999,1999,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,478136.875,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,2000,2000,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,489528.649,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,2001,2001,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,497352.025,,
AUS,Australia,GHG,Greenhouse gases,TOTAL,Total  emissions excluding LULUCF,2002,2002,T_CO2_EQVT,Tonnes of CO2 equivalent,3,Thousands,,,501000.843,,
